Subject,Motif_F1,Motif_Accuracy,Motif_Precision,Motif_Recall,HRV_F1,HRV_Accuracy,HRV_Precision,HRV_Recall,F1_Delta
S2,0.8794,0.8846,0.9208,0.8416,0.9317,0.9345,0.974,0.8929,0.0523
S3,0.8615,0.8699,0.9211,0.8091,0.9886,0.9888,1.0,0.9775,0.1271
S4,0.7499,0.7256,0.6889,0.8228,0.9405,0.9375,0.8969,0.9886,0.1906
S5,0.7891,0.7469,0.6763,0.9471,0.9153,0.9167,0.931,0.9,0.1261
S6,0.752,0.7001,0.641,0.9095,0.6635,0.6099,0.5833,0.7692,-0.0885
S7,0.472,0.4834,0.4827,0.4619,0.236,0.309,0.2639,0.2135,-0.236
S8,0.047,0.2536,0.065,0.0368,0.0,0.4105,0.0,0.0,-0.047
S9,0.4083,0.5034,0.5051,0.3426,0.189,0.4278,0.3243,0.1333,-0.2193
S10,0.8595,0.8405,0.7677,0.9763,0.7236,0.7406,0.7742,0.6792,-0.1359
S11,0.6079,0.5484,0.5372,0.7002,0.93,0.9278,0.9029,0.9588,0.3221
S13,0.3288,0.493,0.4863,0.2484,0.6182,0.6649,0.7183,0.5426,0.2893
S14,0.863,0.8618,0.8554,0.8708,0.9792,0.9792,0.9792,0.9792,0.1161
S15,0.5689,0.5553,0.552,0.5869,0.3607,0.4091,0.3929,0.3333,-0.2082
S16,0.8918,0.8958,0.9269,0.8593,0.9206,0.9219,0.9355,0.9062,0.0288
S17,0.6179,0.6579,0.6998,0.5532,0.8744,0.8821,0.9355,0.8208,0.2565
