Subject,Validation_percentile,Validation_F1,Test_F1_Best,Test_F1_Common,Test_Accuracy,Test_Precision,Test_Recall,Mean_Baseline,Mean_Stress,Separation_ratio
S2,93,0.9264,0.8794,0.7471,0.8846,0.9208,0.8416,40.9932,42.0872,1.027
S3,92,0.929,0.8615,0.2353,0.8699,0.9211,0.8091,41.9022,42.8125,1.022
S4,59,0.7362,0.7499,0.0621,0.7256,0.6889,0.8228,43.374,43.5509,1.004
S5,56,0.7887,0.7891,0.0013,0.7469,0.6763,0.9471,43.1438,43.3572,1.005
S6,71,0.849,0.752,0.2473,0.7001,0.641,0.9095,42.8816,43.106,1.005
S7,50,0.5152,0.472,0.0033,0.4834,0.4827,0.4619,43.3489,43.3471,1.0
S8,50,0.0344,0.047,0.0001,0.2536,0.065,0.0368,43.6768,43.367,0.993
S9,50,0.2343,0.4083,0.0229,0.5034,0.5051,0.3426,43.9702,43.9748,1.0
S10,91,0.9282,0.8595,0.85,0.8405,0.7677,0.9763,43.3709,44.0587,1.016
S11,50,0.3945,0.6079,0.2777,0.5484,0.5372,0.7002,43.5664,43.656,1.002
S13,50,0.331,0.3288,0.0,0.493,0.4863,0.2484,42.3197,42.4401,1.003
S14,86,0.8345,0.863,0.5562,0.8618,0.8554,0.8708,43.1979,43.7408,1.013
S15,50,0.4731,0.5689,0.0086,0.5553,0.552,0.5869,43.3811,43.4677,1.002
S16,88,0.9263,0.8918,0.315,0.8958,0.9269,0.8593,42.0285,42.9179,1.021
S17,77,0.819,0.6179,0.3069,0.6579,0.6998,0.5532,42.8734,43.1634,1.007
